category,risk,record,tweakdb_id,entity_template,default_appearance,crowd_appearances,all_appearances,multiplayer_templates,character_type,affiliation,reaction_preset,archetype_data,archetype_name,genders,tags,visual_tags,is_crowd,is_light_crowd,is_child,is_bumpable,can_have_generic_talk,force_generic_talk,default_equipment,primary_equipment,secondary_equipment,quest,vendor,driving,state_machine,voice_tag,source
"child","restricted_child","Character.mq012_kids","0x00000014AF035931","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q302_protester_civilian_child","0x00000027E2551D68","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","Tennant",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","NPCQuestAffiliation.MainQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.ep1_combat_zone_citizen_stacks_child","0x0000002E015442B8","ep1\characters\entities\citizen\citizen__ep1_combat_zone_stacks_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.ep1_combat_zone_citizen_stacks_child_savable","0x00000036C13FC962","ep1\characters\entities\citizen\citizen__ep1_combat_zone_stacks_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","",false,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.sts_ep1_03_gunfight_citizen_stacks_child","0x00000032041DC977","ep1\characters\entities\citizen\citizen__ep1_combat_zone_stacks_mc.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.wst_ep1_ctz_101_child","0x0000001F286914F5","ep1\characters\entities\citizen\citizen__ep1_combat_zone_stacks_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.wst_ep1_ctz_106_child_02","0x00000022C423732F","ep1\characters\entities\citizen\citizen__ep1_combat_zone_stacks_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.mws_cz_04_kid","0x000000178CA6602A","ep1\openworld\mini_world_stories\combat_zone\mws_cz_04\characters\mws_cz_04_kids.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.sts_ep1_03_gunfight_citizen_jason","0x0000002B4763D29F","ep1\openworld\street_stories\sts_ep1_03\characters\sts_ep1_03_jason.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","Immortal","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.wst_ep1_ctz_106_child_01","0x000000225D2A2295","ep1\openworld\world_stories\sweet_spots_ctz\wst_ep1_ctz_106\wst_ep1_ctz_106_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q304_transmitter_kid_01","0x000000212E7AB32A","ep1\quest\main_quests\q304\characters\q304_car_rental_kid.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",true,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q304_transmitter_kid_02","0x00000021B773E290","ep1\quest\main_quests\q304\characters\q304_car_rental_kid.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",true,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_01","0x0000001EF7991CED","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_02","0x0000001E6E904D57","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_03","0x0000001E19977DC1","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_04","0x0000001E87F3E862","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_05","0x0000001EF0F4D8F4","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_06","0x0000001E69FD894E","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_07","0x0000001E1EFAB9D8","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_08","0x0000001E8E45A449","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_09","0x0000001EF94294DF","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_10","0x0000001E99851D3A","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_11","0x0000001EEE822DAC","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_boy_12","0x0000001E778B7C16","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q306_terminal_children","0x00000020D661B284","ep1\quest\main_quests\q306\characters\q306_spaceport_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","DoNotTriggerPrevention;Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.sts_ep1_02_mercenary","0x0000001ECCEF5608","base\characters\entities\citizen\citizen__aldecaldos_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.StreetStory","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.sts_std_rcr_03_nomad","0x0000001EC71C4CBC","base\characters\entities\citizen\citizen__aldecaldos_ma.ent","None","","None","","NPCType.Human","Factions.Aldecaldos","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.StreetStory","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.kab_victim_male_rich_corpo","0x000000248908BDB2","base\characters\entities\citizen\citizen__arasaka_corpo_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.q101_diner_asian_suit2","0x00000020755ECEB5","base\characters\entities\citizen\citizen__arasaka_corpo_ma.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MainQuest","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.q303_paradise_arasaka_contact","0x0000002763C9ECFE","base\characters\entities\citizen\citizen__arasaka_corpo_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.sts_wat_kab_04_chinese_bodyguard","0x0000002A7DBC3A08","base\characters\entities\citizen\citizen__arasaka_corpo_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.StreetStory","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.sts_wat_kab_04_chinese_stranger","0x00000029E2DFF019","base\characters\entities\citizen\citizen__arasaka_corpo_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.StreetStory","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.q101_diner_lady","0x000000196F3474D5","base\characters\entities\citizen\citizen__biker_wa.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MainQuest","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.q307_tunnel_child","0x0000001B7D818EF0","base\characters\entities\citizen\citizen__children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","special_vendor","Character.hey_spr_clothingshop_01","0x00000021CA894BF4","base\characters\entities\citizen\citizen__chubby_waf.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","Vendors.hey_spr_clothingshop_01","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.ma_std_rcr_18_hostage_02","0x00000022FE365C4D","base\characters\entities\citizen\citizen__corporat_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorActivity","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq021_doctor","0x0000001698D16609","base\characters\entities\citizen\citizen__corporat_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq038_darryl","0x00000016256A13FC","base\characters\entities\citizen\citizen__corporat_ma.ent","citizen__corporat_ma_corporat_ma_10","","citizen__corporat_ma_corporat_ma_10","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.mws_hey_07_zetatech_executive","0x000000270FC9B222","base\characters\entities\citizen\citizen__corporat_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.q101_diner_asian_suit1","0x00000020EC579F0F","base\characters\entities\citizen\citizen__corporat_ma.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MainQuest","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.quickhits_target_001","0x0000001E7057221D","base\characters\entities\citizen\citizen__corporat_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.q303_paradise_guest_mb_01","0x000000237039B97E","base\characters\entities\citizen\citizen__corporat_mb.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.q101_diner_female3","0x0000001C5F2FAA08","base\characters\entities\citizen\citizen__corporat_wa.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MainQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.rcr_02_reception","0x0000001A82C05A01","base\characters\entities\citizen\citizen__corporat_wa.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","","",false,false,false,false,true,false,"","Character.Quest_Combat_NPC_Base_inline0","","NPCQuestAffiliation.StreetStory","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.sts_hey_rey_06_receptionist","0x00000025EA6A1734","base\characters\entities\citizen\citizen__corporat_wa.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.sts_std_rcr_01_recepcionist","0x00000025BCECF942","base\characters\entities\citizen\citizen__corporat_wa.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.StreetStory","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq006_anel","0x000000146C04DAC6","base\characters\entities\citizen\citizen__creole_ma.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,false,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq006_jean","0x000000143D32160E","base\characters\entities\citizen\citizen__creole_ma.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,false,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq006_sandley","0x00000017D53498F2","base\characters\entities\citizen\citizen__creole_ma.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,false,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.q110_OW_invisible_NPC_only_for_E3","0x0000002B5C5748FB","base\characters\entities\citizen\citizen__creole_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.quickhits_target_002","0x0000001EE95E73A7","base\characters\entities\citizen\citizen__creole_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq006_darline","0x00000017E6D72FB1","base\characters\entities\citizen\citizen__creole_wa.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,false,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq006_farah","0x00000015A5846246","base\characters\entities\citizen\citizen__creole_wa.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,false,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","special_vendor","Character.wat_lch_medic_01","0x0000001AEC4B67CF","base\characters\entities\citizen\citizen__creole_wa.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","Vendors.wat_lch_medicstore_01","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.ma_std_arr_06_homeless","0x0000002050B51397","base\characters\entities\citizen\citizen__homeless_man.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.ma_std_rcr_18_hostage_07","0x000000228E5CA8C2","base\characters\entities\citizen\citizen__homeless_man.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorActivity","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq003_homeless_leader","0x0000001F7F342F4C","base\characters\entities\citizen\citizen__homeless_man.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq003_homeless_suitcase","0x00000021FAF3072A","base\characters\entities\citizen\citizen__homeless_man.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.sts_bls_ina_05_refugee_m","0x00000022445C9511","base\characters\entities\citizen\citizen__homeless_man.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","Invulnerable","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.StreetStory","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.mq003_homeless_fat","0x0000001CEF4F1C78","base\characters\entities\citizen\citizen__homeless_mb.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"civilian","unsafe_quest_or_scene","Character.ma_std_rcr_18_hostage_10","0x0000002209230C20","base\characters\entities\citizen\citizen__homeless_wa.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Neutral","","humanoid","","","",false,false,false,false,true,false,"","","","NPCQuestAffiliation.MinorActivity","","","None","None","tweakdb_ep1.bin"
"civilian","candidate","Character.hil_victim_male_poor","0x0000001E9BD29724","base\characters\entities\citizen\citizen__junkie_ma.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.NoReaction","","humanoid","","","",false,false,false,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
